GeneA GeneB Genus spp relationship
Potri.017G039100 SapurV1A.0312s0070 S. purpurea one-to-one
Potri.002G150000 SapurV1A.0024s0680 S. purpurea one-to-one
Potri.006G280200 SapurV1A.0263s0060 S. purpurea one-to-one
Potri.006G115600 SapurV1A.0208s0220 S. purpurea one-to-one
Potri.008G086500 SapurV1A.0149s0120 S. purpurea one-to-one
Potri.005G170400 SapurV1A.0331s0180 S. purpurea one-to-one
Potri.001G133500 SapurV1A.0051s0440 S. purpurea one-to-one
Potri.001G098000 SapurV1A.0098s0480 S. purpurea one-to-one
Potri.001G315300 SapurV1A.0058s0570 S. purpurea one-to-one
Potri.012G137200 SapurV1A.1447s0030 S. purpurea one-to-one
Potri.003G008300 SapurV1A.0136s0340 S. purpurea many-to-many
Potri.003G008300 SapurV1A.4536s0020 S. purpurea many-to-many
Potri.003G007700 SapurV1A.0136s0340 S. purpurea many-to-many
Potri.003G007700 SapurV1A.4536s0020 S. purpurea many-to-many
Potri.009G057200 SapurV1A.4644s0020 S. purpurea one-to-many
Potri.009G057200 SapurV1A.0027s0740 S. purpurea one-to-many
Potri.010G036200 SapurV1A.2905s0020 S. purpurea one-to-many
Potri.010G036200 SapurV1A.0007s0260 S. purpurea one-to-many
Potri.009G112600 SapurV1A.5930s0010 S. purpurea one-to-one
Potri.002G256500 SapurV1A.0252s0270 S. purpurea one-to-one
Potri.009G036700 SapurV1A.0128s0180 S. purpurea one-to-one
Potri.004G183100 SapurV1A.0080s0410 S. purpurea one-to-one
Potri.014G136100 SapurV1A.0053s0360 S. purpurea one-to-one
Potri.003G163100 SapurV1A.0499s0100 S. purpurea one-to-one
Potri.003G051100 SapurV1A.2848s0010 S. purpurea one-to-one
Potri.019G080800 SapurV1A.0391s0100 S. purpurea one-to-one
Potri.005G176700 SapurV1A.0105s0240 S. purpurea one-to-one
Potri.005G065700 SapurV1A.0465s0240 S. purpurea one-to-one
Potri.005G036400 SapurV1A.1055s0110 S. purpurea one-to-one
Potri.010G156600 SapurV1A.0743s0010 S. purpurea many-to-many
Potri.010G156600 SapurV1A.0823s0020 S. purpurea many-to-many
Potri.010G156600 SapurV1A.2180s0030 S. purpurea many-to-many
Potri.016G010900 SapurV1A.0743s0010 S. purpurea many-to-many
Potri.016G010900 SapurV1A.0823s0020 S. purpurea many-to-many
Potri.016G010900 SapurV1A.2180s0030 S. purpurea many-to-many
Potri.002G158000 SapurV1A.0024s0020 S. purpurea one-to-one
Potri.015G044100 SapurV1A.3538s0030 S. purpurea one-to-many
Potri.015G044100 SapurV1A.0475s0060 S. purpurea one-to-many
Potri.015G044100 SapurV1A.0530s0150 S. purpurea one-to-many
Potri.013G146400 SapurV1A.0048s0370 S. purpurea many-to-many
Potri.013G146400 SapurV1A.1229s0020 S. purpurea many-to-many
Potri.013G146700 SapurV1A.0048s0370 S. purpurea many-to-many
Potri.013G146700 SapurV1A.1229s0020 S. purpurea many-to-many
Potri.006G027500 SapurV1A.0295s0020 S. purpurea one-to-many
Potri.006G027500 SapurV1A.1532s0010 S. purpurea one-to-many
Potri.013G116900 SapurV1A.0179s0380 S. purpurea one-to-many
Potri.013G116900 SapurV1A.0596s0040 S. purpurea one-to-many
Potri.010G157800 SapurV1A.0072s0240 S. purpurea one-to-one
Potri.010G045000 SapurV1A.0317s0370 S. purpurea one-to-one
Potri.010G145700 SapurV1A.0050s0380 S. purpurea one-to-one
Potri.002G041900 SapurV1A.0006s1050 S. purpurea one-to-one
Potri.009G110000 SapurV1A.0576s0020 S. purpurea one-to-one
Potri.018G076000 SapurV1A.0097s0180 S. purpurea one-to-one
Potri.008G144700 SapurV1A.0200s0350 S. purpurea one-to-one
Potri.003G120900 SapurV1A.0045s0680 S. purpurea one-to-one
Potri.013G015100 SapurV1A.0604s0220 S. purpurea one-to-one
Potri.007G016800 SapurV1A.0569s0100 S. purpurea one-to-one
Potri.013G025400 SapurV1A.0092s0170 S. purpurea one-to-one
Potri.016G046200 SapurV1A.0018s0640 S. purpurea one-to-one
Potri.016G062100 SapurV1A.1774s0010 S. purpurea one-to-one
Potri.008G046900 SapurV1A.0038s0370 S. purpurea one-to-one
Potri.011G093400 SapurV1A.0692s0030 S. purpurea one-to-one
Potri.011G112200 SapurV1A.0848s0050 S. purpurea one-to-one
Potri.007G116200 SapurV1A.0187s0110 S. purpurea one-to-one
Potri.011G090900 SapurV1A.0355s0090 S. purpurea one-to-one
Potri.001G417300 SapurV1A.0712s0050 S. purpurea one-to-one
Potri.001G378000 SapurV1A.0020s0140 S. purpurea one-to-one
Potri.001G341000 SapurV1A.0750s0010 S. purpurea one-to-one
Potri.012G020200 SapurV1A.0250s0110 S. purpurea one-to-one
Potri.010G174800 SapurV1A.0093s0280 S. purpurea one-to-many
Potri.010G174800 SapurV1A.3649s0010 S. purpurea one-to-many
Potri.006G041800 SapurV1A.1356s0050 S. purpurea one-to-many
Potri.006G041800 SapurV1A.0196s0020 S. purpurea one-to-many
Potri.009G077900 SapurV1A.0042s0030 S. purpurea one-to-one
Potri.009G124100 SapurV1A.0379s0160 S. purpurea one-to-one
Potri.004G227700 SapurV1A.0225s0230 S. purpurea one-to-one
Potri.002G097900 SapurV1A.0239s0140 S. purpurea one-to-one
Potri.011G155100 SapurV1A.0131s0190 S. purpurea one-to-one
Potri.004G162400 SapurV1A.0091s0210 S. purpurea one-to-one
Potri.004G017200 SapurV1A.0660s0070 S. purpurea one-to-one
Potri.014G057800 SapurV1A.0382s0120 S. purpurea one-to-one
Potri.018G042000 SapurV1A.0291s0140 S. purpurea one-to-one
Potri.017G135100 SapurV1A.0223s0250 S. purpurea one-to-one
Potri.014G162600 SapurV1A.0054s0050 S. purpurea one-to-one
Potri.003G042700 SapurV1A.1869s0050 S. purpurea one-to-one
Potri.013G010400 SapurV1A.0088s0480 S. purpurea one-to-one
Potri.001G454800 SapurV1A.0285s0260 S. purpurea one-to-one
Potri.003G104200 SapurV1A.1378s0020 S. purpurea one-to-many
Potri.003G104200 SapurV1A.0894s0180 S. purpurea one-to-many
Potri.011G154000 SapurV1A.0131s0110 S. purpurea one-to-one
Potri.001G034200 SapurV1A.0369s0360 S. purpurea one-to-many
Potri.001G034200 SapurV1A.0369s0350 S. purpurea one-to-many
Potri.014G070500 SapurV1A.0532s0180 S. purpurea one-to-one
Potri.017G062000 SapurV1A.1119s0050 S. purpurea one-to-one
Potri.017G135800 SapurV1A.0223s0290 S. purpurea one-to-one
Potri.018G067900 SapurV1A.0087s0220 S. purpurea one-to-one
Potri.003G141900 SapurV1A.0237s0520 S. purpurea one-to-one
Potri.015G013800 SapurV1A.0524s0070 S. purpurea one-to-one
Potri.015G012600 SapurV1A.0524s0190 S. purpurea one-to-one
Potri.010G171600 SapurV1A.2595s0040 S. purpurea one-to-many
Potri.010G171600 SapurV1A.0093s0020 S. purpurea one-to-many
Potri.010G171600 SapurV1A.1732s0010 S. purpurea one-to-many
Potri.002G220000 SapurV1A.0014s0470 S. purpurea many-to-one
Potri.002G215300 SapurV1A.0014s0470 S. purpurea many-to-one
Potri.018G139800 SapurV1A.0140s0390 S. purpurea one-to-one
Potri.002G120600 SapurV1A.1436s0060 S. purpurea one-to-many
Potri.002G120600 SapurV1A.2415s0020 S. purpurea one-to-many
Potri.017G146400 SapurV1A.0392s0250 S. purpurea one-to-many
Potri.017G146400 SapurV1A.1218s0140 S. purpurea one-to-many
Potri.012G113800 SapurV1A.0607s0280 S. purpurea one-to-many
Potri.012G113800 SapurV1A.1096s0130 S. purpurea one-to-many
Potri.009G133300 SapurV1A.0514s0270 S. purpurea one-to-one
Potri.009G138900 SapurV1A.0218s0260 S. purpurea one-to-one
Potri.009G026500 SapurV1A.0489s0140 S. purpurea one-to-one
Potri.010G031000 SapurV1A.0007s0480 S. purpurea one-to-one
Potri.006G219500 SapurV1A.0057s0160 S. purpurea one-to-one
Potri.002G139200 SapurV1A.0033s0050 S. purpurea one-to-one
Potri.001G456300 SapurV1A.0478s0110 S. purpurea one-to-one
Potri.013G008900 SapurV1A.0088s0360 S. purpurea one-to-one
Potri.003G158000 SapurV1A.0122s0330 S. purpurea one-to-one
Potri.015G136700 SapurV1A.0068s0530 S. purpurea one-to-one
Potri.008G180600 SapurV1A.0206s0240 S. purpurea one-to-one
Potri.001G042400 SapurV1A.0806s0190 S. purpurea one-to-one
Potri.001G185600 SapurV1A.1183s0060 S. purpurea one-to-one
Potri.007G028300 SapurV1A.0255s0160 S. purpurea one-to-one
Potri.T013000 SapurV1A.1005s0060 S. purpurea one-to-one
Potri.014G179600 SapurV1A.0137s0030 S. purpurea one-to-one
Potri.001G252900 SapurV1A.0077s0190 S. purpurea one-to-one
Potri.018G053300 SapurV1A.1755s0030 S. purpurea one-to-many
